Scope,LegoSet,GizmoType,GizmoName,References,Can Be Instanced?,In Complex Gizmo?
Level,Builder_SF_Residential,ComplexGizmo,HUGE_OAK_CLUSTER_CMPLX,0,Yes,-
Level,Builder_SF_Residential,ComplexGizmo,DUMPSTER_HIDE_CMPLX,1,Yes,-
Level,Builder_SF_Residential,ComplexGizmo,PARKSLIDE_CMPLX,0,Yes,-
Level,Builder_SF_Residential,ComplexGizmo,PUNCHBAG_CMPLX,0,Yes,-
Level,Builder_SF_Residential,ComplexGizmo,GUMBALL_CMPLX,0,Yes,-
Level,Builder_SF_Residential,GizSpellIt,spellit,0,Yes,-
Level,Builder_SF_Residential,GizSpellIt,Build-it_Red_Table,0,Yes,-
Level,Builder_SF_Residential,Blowup,Bubblegum_Blowup,0,Yes (via complex-gizmo),GUMBALL_CMPLX
Level,Builder_SF_Residential,GizObstacle,Table_01_noParasol,0,Yes,-
Level,Builder_SF_Residential,GizObstacle,Table_01_Bouncy,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,Bench_07_Ob,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,BBQ_02_OB,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,Bird_Bath_01_Ob,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,PhoneBox_05_OB,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,Table_01_Ob,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,Bench_06_Ob,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,GreenDumpster,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,Lawnmower,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,Red_Parasol_Table,0,Yes,-
Level,Builder_SF_Residential,GIZSIMPLEPROPOBJECT,Red_Chair,1,Yes,-
Level,Builder_SF_Residential,GizObstacle,DUMPSTER_HIDE_NULL_OB,1,-,DUMPSTER_HIDE_CMPLX
Level,Builder_SF_Residential,GizObstacle,PUNCHBAG_USE_FAIL_ANIM,0,-,PUNCHBAG_CMPLX
Level,Builder_SF_Residential,GizObstacle,HUGE_OAK_CLUSTER_COMP_OB,0,-,HUGE_OAK_CLUSTER_CMPLX
Level,Builder_SF_Residential,GizObstacle,HUGE_OAK_CLUSTER_BASE_OB,0,-,HUGE_OAK_CLUSTER_CMPLX
Level,Builder_SF_Residential,GizObstacle,HUGE_OAK_CLUSTER_BITS_OB,0,-,HUGE_OAK_CLUSTER_CMPLX
Level,Builder_SF_Residential,GizObstacle,Dumpster_Intro,1,-,DUMPSTER_HIDE_CMPLX
Level,Builder_SF_Residential,GizObstacle,Dumpster_Loop,1,-,DUMPSTER_HIDE_CMPLX
Level,Builder_SF_Residential,GizObstacle,Dumpster_Outro,1,-,DUMPSTER_HIDE_CMPLX
Level,Builder_SF_Residential,GizObstacle,PARKSLIDE_NULL,0,-,PARKSLIDE_CMPLX
Level,Builder_SF_Residential,GizObstacle,SLIDE_OPTM,0,-,PARKSLIDE_CMPLX
Level,Builder_SF_Residential,GizObstacle,iTable_01_Bouncy,0,-,-
Level,Builder_SF_Residential,GizObstacle,iTable_01_noParasol,0,-,-
Level,Builder_SF_Residential,Blowup,PUNCHBAG_BL,0,-,PUNCHBAG_CMPLX
