Scope,LegoSet,GizmoType,GizmoName,References,Can Be Instanced?,In Complex Gizmo?
Level,Builder_SF_Residential_3,GizItem,gizitem,0,Yes,-
Level,Builder_SF_Residential_3,ComplexGizmo,Mushroom_Complex,0,Yes,-
Level,Builder_SF_Residential_3,GizSpellIt,Mushroom_Buildit,0,Yes (via complex-gizmo),Mushroom_Complex
Level,Builder_SF_Residential_3,GizObstacle,Mushroom_BI_NULL,0,Yes,-
Level,Builder_SF_Residential_3,GizObstacle,Plant_Pole_Climb,1,Yes,-
Level,Builder_SF_Residential_3,GizObstacle,Mushroom,0,Yes (via complex-gizmo),Mushroom_Complex
Level,Builder_SF_Residential_3,GizObstacle,Plant_Pole_Smash,0,Yes,-
Level,Builder_SF_Residential_3,GizObstacle,GardenPump,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,Tyre_01_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,BBq_01_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,News_Kiosk_01_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,Camera_Security_01_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,News_Stand_01_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,Step_Ladder_01_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,Light_Flood_01_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,Gas_Tank_03_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,Patio_Heater_01_Ob,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,Pallet_01_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,Barrier_01_OB,0,Yes,-
Level,Builder_SF_Residential_3,GIZSIMPLEPROPOBJECT,Air_Con_05_OPTM_Ob,0,Yes,-
Level,Builder_SF_Residential_3,GizSpellIt,iMushroom_Buildit,0,-,-
SET INSTANCABLE USAGE:,'Builder_SF_Residential_3',1/20 gizmos,(5.0 percent)
SET TOTAL USAGE:,'Builder_SF_Residential_3',1/21 gizmos,(4.8 percent)

Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_BLUE_ANIM,0,Yes,-
Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_VINE_NPC_CMPLX,0,Yes,-
Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_SUNF_2_CMPLX,0,Yes,-
Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_SUNF_1_CMPLX,0,Yes,-
Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_PLATF_3_CMPLX,0,Yes,-
Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_VINE_CLIMBER_CMPL,0,Yes,-
Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_BLUE_CMPLX,0,Yes,-
Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_VINE_BASE_CMPLX,0,Yes,-
Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_PLATF_2_CMPLX,0,Yes,-
Level,Builder_Farmer,ComplexGizmo,WATER_PLANTS_PLATF_1_CMPLX,0,Yes,-
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_USE_ANIM,0,Yes (via complex-gizmo),WATER_PLANTS_VINE_CLIMBER_CMPLX
Level,Builder_Farmer,GizObstacle,PLANTS_VINE_TRIGGERTOGROW,0,Yes,-
Level,Builder_Farmer,GizObstacle,PLANTS_VINE_STANDALONE,2,Yes,-
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT6_ANIM,0,Yes (via complex-gizmo),WATER_PLANTS_SUNF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT3_ANIM,0,Yes (via complex-gizmo),WATER_PLANTS_PLATF_3_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT1_LOOP,0,Yes (via complex-gizmo),WATER_PLANTS_PLATF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_BASE_ANIM,0,Yes (via complex-gizmo),WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_PLATF_1_ANIM,0,-,WATER_PLANTS_PLATF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_PLATF_2_ANIM,0,-,WATER_PLANTS_PLATF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_ANIM,0,-,WATER_PLANTS_VINE_CLIMBER_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_PLATF_3_ANIM,0,-,WATER_PLANTS_PLATF_3_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_SUNF_1_ANIM,0,-,WATER_PLANTS_SUNF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_SUNF_2_ANIM,0,-,WATER_PLANTS_SUNF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_SUNF_3_ANIM,0,-,WATER_PLANTS_SUNF_3_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_STATIC,0,-,WATER_PLANTS_VINE_CLIMBER_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_BASE_STATIC,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_BASEc_STATIC,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_BASEc_ANIM,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT1_STATIC,0,-,-
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_PLATF_1_STATIC,0,-,WATER_PLANTS_PLATF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT1_ANIM,0,-,WATER_PLANTS_PLATF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT2_ANIM,0,-,WATER_PLANTS_PLATF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT2_LOOP,0,-,WATER_PLANTS_PLATF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT2_STATIC,0,-,-
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT3_LOOP,0,-,WATER_PLANTS_PLATF_3_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT3_STATIC,0,-,-
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_PLATF_2_STATIC,0,-,WATER_PLANTS_PLATF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_PLATF_3_STATIC,0,-,WATER_PLANTS_PLATF_3_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT4_ANIM,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT4_LOOP,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT4_STATIC,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_BLUPOT_LOOP,0,-,WATER_PLANTS_BLUE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_BLUPOT_STATIC,0,-,WATER_PLANTS_BLUE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_BLUPOT_ANIM,0,-,WATER_PLANTS_BLUE_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_SUNF_1_STATIC,0,-,WATER_PLANTS_SUNF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT5_ANIM,0,-,WATER_PLANTS_SUNF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT5_LOOP,0,-,WATER_PLANTS_SUNF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT5_STATIC,0,-,WATER_PLANTS_SUNF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT6_LOOP,0,-,WATER_PLANTS_SUNF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT6_STATIC,0,-,WATER_PLANTS_SUNF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_SUNF_2_STATIC,0,-,WATER_PLANTS_SUNF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_PLATF_1_BOUNCE,0,-,WATER_PLANTS_PLATF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_PLATF_2_BOUNCE,0,-,WATER_PLANTS_PLATF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_PLATF_3_BOUNCE,0,-,WATER_PLANTS_PLATF_3_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_SUNF1_NULL,0,-,WATER_PLANTS_SUNF_1_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_SUNF2_NULL,0,-,WATER_PLANTS_SUNF_2_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT7_STATIC,0,-,WATER_PLANTS_VINE_NPC_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT7_LOOP,0,-,WATER_PLANTS_VINE_NPC_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_REDPOT7_ANIM,0,-,WATER_PLANTS_VINE_NPC_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_NPCc_ANIM,0,-,WATER_PLANTS_VINE_NPC_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_NPC_ANIM,0,-,WATER_PLANTS_VINE_NPC_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_NPCc_STATIC,0,-,WATER_PLANTS_VINE_NPC_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_VINE_NPC_STATIC,0,-,WATER_PLANTS_VINE_NPC_CMPLX
